company,car_model,about_car,price,offer,previous_price,downpayment,EMI
2009 Toyota CamryW4 AT Automatic,W4 AT Automatic,"99,864 km1st OwnerPetrol","₹307,299"," ₹5,000 OFF","₹312,299",Zero downpayment,"₹6,836/month"
2020 Skoda Rapid1.0 AMBITION TSI MT Manual,1.0 AMBITION TSI MT Manual,"6,981 km1st OwnerPetrol","₹901,299"," ₹5,000 OFF","₹906,299",Zero downpayment,"₹20,049/month"
2017 Maruti DzireZXI AMT Automatic,ZXI AMT Automatic,"92,719 km1st OwnerPetrol","₹717,899"," ₹38,000 OFF","₹755,899",Zero downpayment,"₹15,969/month"
2020 Hyundai VENUES MT 1.2 KAPPA Manual,S MT 1.2 KAPPA Manual,547 km1st OwnerPetrol,"₹826,399"," ₹5,000 OFF","₹831,399",Zero downpayment,"₹18,383/month"
2018 Honda WR-V1.2 i-VTEC VX MT Manual,1.2 i-VTEC VX MT Manual,"16,631 km1st OwnerPetrol","₹850,899"," ₹31,000 OFF","₹881,899",Zero downpayment,"₹18,928/month"
,,,,,,,
,,,,,,,
2018 Volkswagen PoloTrendline 1.0 L Petrol Manual,Trendline 1.0 L Petrol Manual,"43,686 km1st OwnerPetrol","₹506,499"," ₹41,000 OFF","₹547,499",Zero downpayment,"₹11,267/month"
2015 Hyundai Creta1.6 SX CRDI Manual,1.6 SX CRDI Manual,"110,584 km1st OwnerDiesel","₹907,699"," ₹48,000 OFF","₹955,699",Zero downpayment,"₹20,191/month"
2019 Hyundai VENUE1.0 TURBO GDI SX+ AT Automatic,1.0 TURBO GDI SX+ AT Automatic,"26,448 km1st OwnerPetrol","₹1,081,099"," ₹6,000 OFF","₹1,087,099",Zero downpayment,"₹24,048/month"
2017 Hyundai i20 Active1.2 S Manual,1.2 S Manual,"57,900 km1st OwnerPetrol","₹582,699"," ₹23,000 OFF","₹605,699",Zero downpayment,"₹12,962/month"
2014 Hyundai Elite i20ASTA 1.2 Manual,ASTA 1.2 Manual,"43,096 km2nd OwnerPetrol","₹512,599"," ₹49,000 OFF","₹561,599",Zero downpayment,"₹11,402/month"
2016 Maruti Vitara BrezzaZDI PLUS Manual,ZDI PLUS Manual,"97,103 km1st OwnerDiesel","₹773,199"," ₹5,000 OFF","₹778,199",Zero downpayment,"₹17,199/month"
